,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
131,dahi chicken,chicken,"dahi, cumin powder, garlic paste, garam masala, turmeric powder, red chilli powder, salt, boneless chicken, oil, green chilli, onion, tomato",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,490
132,amritsari chicken masala,chicken,"chicken, ginger garlic paste, curd, lemon juice, vinegar, coriander powder, cumin powder, red chilli powder, salt, onion, butter, red chilli powder, coriander powder, cumin powder, ginger, water, salt, green chilli, tomatoes, sugar, butter , cream",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,235
133,chilli chicken,chicken,"boneless chicken, salt, cornflour, black pepper, egg, soy sauce, red chilli sauce, garlic, green chillies, green chilli sauce, vinegar, onion, capsicum, black pepper, salt",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,240
134,oat crusted chicken tenders,chicken,"chicken breast (cut into strips), salt, garlic paste, ginger paste, green chilli paste, oats, refined flour, salt, freshly ground black pepper, fried mixed herbs (italian herb), garlic powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,690
135,chicken nimbu dhaniya shorba,chicken,"water, chicken (diced)), ginger garlic paste, coriander, lemon, cream, butter, turmeric powder, green chilli paste, cornflour, salt",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,390
136,dahi lasooni chicken,chicken,"chicken (boneless, cube size), chesse, garlic, ginger garlic paste, coriander, green chilli paste, cream (fresh), curd, kaju paste, salt, black salt , garam masala, chaat masala, butter",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,540
137,garlic soya chicken,chicken,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour",non-veg,iron, goitre heart_disease rickets cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,525
138,cauliflower and chicken biryani,chicken,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt",non-veg,chloride, goitre rickets cancer kidney_disease anemia pregnancy, dash_diet ketogenic_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,255
139,chicken quinoa biryani,chicken,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd,  chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, dash_diet high_fiber_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,460
140,chicken and mushroom lasagna,chicken,"chicken, salt, crush black pepper, garlic cloves (minced), olive oil, fresh thyme, button mushroom, onion, low fat milk, basil, basil-tomato sauce",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,425
141,plum and cherry roasted chicken,chicken,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries",non-veg,iron, goitre rickets scurvy hypertension kidney_disease anemia pregnancy, high_fiber_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,410
142,chicken roulade,chicken,"chicken breasts, olives, jalapenos, bell peppers(all 3), thyme dried, white wine, salt, black pepper (crushed to taste), egg, olive oil, mozerella cheese, processed cheese",non-veg,calcium, rickets anemia kidney_disease goitre pregnancy, ketogenic_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,235
143,sticky rum chicken wings,chicken,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, rum, bbq sauce",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,470
144,dahi lasooni chicken,chicken,"चिकन (बोनलेस क्यूब्स साइज), चीज, लहसुन, अदरक लहसुन का पेस्ट, हरा धनिया, हरी मिर्च पेस्ट, क्रीम, दही , काजू पेस्ट, नमक, काला नमक, गरम मसाला, चाट मसाला, मक्खन",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,590
145,chicken fritters,chicken,"चिकन (बोनलेस और छोटे टुकड़ों में कटा हुआ), अंडे (हल्के फेंटे हुए), मैदा, लहसुन का पेस्ट, अदरक का पेस्ट, नमक , पानी, तेल",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,685
146,chicken palwal,chicken,"चिकन, प्याज, टमाटर, हरी मिर्च, जीरा पाउडर, धनिया पाउडर, हरा धनिया, दही, अदरक लहसुन, लाल मिर्च पाउडर, नमक  , तेल",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,605
147,pan seared thigh of chicken,chicken,"चिकन थाई, नमक, कालीमिर्च, नींबू, फ्रेश थाइम, बार्ले, ब्रॉकली, मशरूम, एक्ट्रा वर्जिन आॅलिव आॅइल, चेरी टोमैटो",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,230
148,chicken in mahalak sauce,chicken,"नमक, चीनी, सीजनिंग, तेल, कॉर्न फलोर, चिकन लेग, ताजी लाल मिर्च, लहसुन, अदरक , प्याज, लाल मिर्च पेस्ट, टोमैटो कैचअप, लाल शिमला मिर्च, पीली शिमला मिर्च, वेजिटेबल स्टॉक",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,460
149,grilled kasundi honey chicken with sweet potato mash,chicken,"चिकन ब्रेस्ट, कसुंदी (बंगाली मस्टर्ड सॉस), स्वीट पोटैटो, लाल और पीली शिमला मिर्च, ब्रॉकली, लहसुन की कलियां, रिफाइंड आॅयल, नमक, मक्खन, क्रीम, ​हरी प्याज, शहद, अदरक और लहसुन का पेस्ट",non-veg,iron, goitre rickets scurvy hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet gluten_free_diet vegan_diet Mediterranean_diet high_protien_diet,600
150,chicken dong style,chicken,"तेल, चिकन ब्रेस्ट, लहसुन, अदरक, टोमैटो कैचअप, ऑयस्टर सॉस, शिटाके मशरूम, बैम्ब शूट (उबले हुए), नमक, चीनी, ब्रॉथ पाउडर, शॉकिंग वाइन, पोटैटो स्टार्च , तिल का तेल, हरी प्याज",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,320
151,microwave tandoori chicken,chicken,"चिकन( टुकड़ों में कटा हुआ), लहसुन का पेस्ट, अदरक का  पेस्ट, हंग कर्ड, नमक, गरम मसाला, धनिया पाउडर, कालीमिर्च पाउडर, क्रीम , तेल , गार्निशिंग के लिए : , नींबू के टुकड़े , अनियन रिंग्स",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,505
152,methi malai cranberry chicken,chicken,"चिकन (बड़े टुकड़ों में कटा हुआ), नमक, क्रेनबेरी प्यूरी, लाल मिर्च पाउडर, गरम मसाला, धनिया पाउडर, जीरा पाउडर, चाट मसाला, कॉर्न फ्लोर, मेथी के पत्ते, बेसन, अदरक, लहसुन, क्रीम, ग्रीक योगर्ट, मक्खन",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,595
153,southern fried chicken tenders,chicken,"चिकन ब्रेस्ट  (20 स्ट्रिप्स काटे, 20 ग्राम की), मैदा, नमक, ​तीखी लाल मिर्च, अंडे, ब्रेड क्रम्बस, वाइट कैबेज स्लॉ, पासर्ले की टहनी, शहद-मस्टर्ड डिप, ग्रीन बेल पैपर",non-veg,iron, goitre rickets cancer kidney_disease anemia pregnancy, high_fiber_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,565
154,thai style chicken tikka,chicken,"चिकन थाईज़, थाई अदरक, लेमन लीव्ज़, लेमनग्रास, कोकोनट मिल्क पाउडर , रिफाइंड तेल, रेड करी पेस्ट, पीनट बटर, बैज़ल के पत्ते, लोट्स स्टेम, येलो बटर, चाट मसाला",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,225
155,chicken gilafi kebab,chicken,"चिकन कीमा, प्याज, टमाटर, हरी शिमला मिर्च, हरा धनिया, हरी मिर्च, नमक, तेल, काजू, बादाम , पुदीना, लाल मिर्च पाउडर, अदरक लहसुन का पेस्ट, जीरा पाउडर, नींबू का रस, फ्रेश क्रीम, केवड़ा वॉटर",non-veg,phosphorus, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,575
156,chicken minced salad,salad,"जैतून का तेल, चिकन कीमा, लहसुन , प्याज, नमक, कालीमिर्च, गाजर, पत्तागोभी, हरी प्याज, स्वीट चिली सॉस, पीनट बटर, अदरक, सॉय सॉस, ताजा हरा धनिया, चिली फलेक्स, टार्ट",non-veg,fiber, goitre rickets obesity hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,390
157,steam bunny chicken bao,chicken,"बन्स, मैदा, ड्राई यीस्ट, चीनी, नमक , गर्म पानी, चिकन कीमा, अंडे, सोय सॉस, चीनी, तिल का तेल, वूस्टरशर सॉस, चाइव्स, अरोमैट पाउडर",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,205
158,cheese chicken kebabs,chicken,"चिकन थाईज़, लहसुन का पेस्ट, लहसुन का पेस्ट, पीली मिर्च पाउडर, चीज़, दही, बेसन, हरी इलाइची पाउडर, पीली मिर्च पाउडर, जावित्री पाउडर, जायफल पाउडर, सेंधा नमक, हरा धनिया, तेल",non-veg,calcium, goitre eye_disease rickets obesity kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,660
159,andhra crab meat masala,meat,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato",non-veg,potassium, obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,485
160,meat lovers pizza,meat,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",non-veg,potassium, goitre obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,555
161,cajun spiced turkey wrapped with bacon,meat,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",non-veg,vitamin_c, cancer, high_protien_diet,630
162,lamb and chargrilled bell pepper soup,soup,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",non-veg,sodium, scurvy obesity kidney_disease goitre pregnancy, alkaline_diet,425
163,mongolian lamb balls,meat,"lamb (minced), couscous, scallion, garlic, egg, parsley, olive oil, mint, ao nori herb, salt, five spice, cinnamon powder",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,270
164,oyster lamb,meat,"vegetable oil, garlic, ginger, lamb, stock, oyster sauce, dry sherry, sugar, celery, salt, bokchoy, shitake mushroom",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,690
165,chicken shami kebab,meat,"oil, cumin seeds, cloves, black peppercorns, cinnamon, coriander seeds, ajwain, red chilli whole, chilli flakes, boneless chicken, salt, water, ginger, green chilli, garlic, coriander leaves , mint leaves , egg",non-veg,phosphorus, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,300
166,balti meat,meat,"refined oil, black cardamoms, green cardamoms, mace, clove, cinnamon stick, black pepper corn, ginger garlic paste, ginger, green chilies, mutton curry cut, brown onion paste, salt, kashmiri red chili powder, tomato puree, garam masala powder, coriander powder, cumin powder",non-veg,potassium, obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,655
167,coffee marinated mutton chops,coffee,"mutton chops, espresso, honey, balsamic vinegar, rosemary, pink peppercorns (crushed), olive oil, salt",non-veg,chloride, anemia pregnancy, ketogenic_diet hormone_diet,265
168,sali boti (parsi meat dish),meat,"mutton (wash and cut into very small cubes), ghee or oil, tomatoes, onions, green chillies, coriander leaves, chilli powder, turmeric powder, ginger-garlic paste, water, vinegar, jaggery, salt, potatoes, oil",non-veg,potassium, obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,270
169,braised lamb shanks,meat,"लैंग शैंक्स, जैतून का तेल, प्याज, गाजर, सेलेरी स्टिक, लहसुन, व्हाइट वाइन, लैंब स्टॉक, व्हाइट वाइन, रोजमेरी, टोमैटा प्यूरी",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,265
170,meat lovers pizza,meat,"बाजरे का आटा, साबूदाने का आटा, सोया मिल्क, लहसुन पाउडर, बेकिंग पाउडर, नमक, टोमैटो सॉस, मॉजरेला चीज, प्रॉस्क्रीटो, पैपररॉनी, चिकन सलामी, सलामी मिलानो, रोजमैरी, जैतून का तेल",non-veg,potassium, goitre obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,450
171,bengali lamb curry,meat,"लैंब के पीस, दही, हल्दी पाउडर, कैस्टर शुगर, लाल मिर्च पाउडर, सरसों का तेल, प्याज, अदरक पेस्ट, लहसुन पेस्ट, हरी मिर्च, सरसों के दाने, बादाम",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,495
172,andhra pan fried pomfret,curry,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",veg,iron, cancer, high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,285
173,malabari fish curry,curry,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,460
174,portugese fish stew,fish,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,340
175,malabar fish curry,curry,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,365
176,surmai curry with lobster butter rice,rice,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai",veg,chloride, anemia obesity diabeties, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet vegan_diet,260
177,seared salmon in tabasco butter,butter,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt",non-veg,calcium, goitre heart_disease rickets obesity diabeties hypertension anemia pregnancy, ketogenic_diet low_sodium_diet low_fat_diet vegan_diet high_protien_diet,430
178,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille",egg,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt",non-veg,vitamin_c, heart_disease rickets cancer diabeties hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet high_protien_diet,650
179,fish skewers with coriander and red wine vinegar dressing,wine,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,410
180,seafood rock filler,baked,"baked tart of mixed sea food served with phyllo fruit bowl, savory tart shell (semi baked), mixed sea food, mornay sauce, assorted herb and seasoning, phyllo pastry, assorted seasonal fruit",veg,iodine, goitre rickets obesity anemia pregnancy, dash_diet ketogenic_diet type_o_diet vegan_diet omni_diet,535
181,shrimp &amp; cilantro ceviche,coriander,"prawns, gherkin, onion, cilantro, mix bell pepper, tiger milk, sweet corn, sea salt, black pepper, green lemon juice, cherry tomato, edible flower, coriander stems, celery stalks, garlic, ginger, red onion, lemon juice, sea salt, black pepper",veg,vitamin_a, anemia goitre, ketogenic_diet,325
182,saewoo bokumbop (shrimp fried rice),egg,"cooked rice, shrimp (de-veined, onion, cooked green peas, green onion, egg (scrambled), vegetable oil/butter, soy sauce, sesame oil, salt, pepper",veg,vitamin_a, cancer, alkaline_diet hormone_diet,260
183,goan prawn curry &amp; baked rice canapes,rice,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite",veg,iron, anemia obesity goitre diabeties, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet vegan_diet,620
184,bihari fish curry,curry,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,630
185,fish with jamun sauce,sauce,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach",non-veg,vitamin_c, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,380
186,beer batter fish fingers,fish,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet gluten_free_diet vegan_diet high_protien_diet,445
187,prawn and litchi salad,salad,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt",veg,fiber, goitre obesity hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet high_protien_diet,320
188,kerala fish curry,curry,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,635
189,fish andlouse,fish,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc.",non-veg,vitamin_c, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,620
190,fish with jamun sauce,sauce,"जामुन, चीनी, मिर्च, लहसुन की कलियां, जीरा पाउडर, फिश फिलेट, सूजी, नमक, पालक",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,635
191,pesto fish kebabs,kebabs,"किंग फिश एक इंच टुकड़ों को में कटे हुए, लाल शिमला मिर्च एक इंच टुकड़ों को में कटे हुए, बेजल पेस्तो, वाइट वाइन विनेगर, नमक, कुकिंग स्प्रे",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,460
192,prawn fried rice,rice,"तेल, बैकन, प्रॉन्स, चिकन, गाजर, लहसुन की कलियां, अदरक, स्प्रिंग अनियन, स्वीट चिली सॉस, सोय सॉस, नमक, कालीमिर्च, स्वीट कॉर्न, सिरका, पके हुए चावल, हरा धनिया",veg,carbohydrates, anemia obesity cancer diabeties, dash_diet ketogenic_diet alkaline_diet hormone_diet vegan_diet high_protien_diet,310
193,damdama fish curry,curry,"फिश, प्याज, टमाटर , देगी लाल मिर्च पाउडर, जीरा पाउडर, धनिया पाउडर, हरा धनिया, जीरा, नमक, तेल",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,625
194,andhra crab meat masala,crab,"प्रोसेस्ड क्रैब मीट, रिफाइंड तेल, कढ़ीपत्ते, लहसुन, हरी मिर्च, प्याज, अदरक-लहसुन, हरा धनिया, धनिया पाउडर, जीरा पाउडर, हल्दी पाउडर, गरम मसाला पाउडर, कशमिरी लाल पाउडर, नमक, नींबू, चॉप मसाला, टमाटर",non-veg,potassium, obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,475
195,malabari fish curry,curry,"फिश, नारियल, अदरक, इमली प्यूरी, नमक, हल्दी पाउडर, छोटी हरी मिर्च, लाल मिर्च पाउडर, शैलेट",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,675
196,fish with white sauce,sauce,"फिलेट फिश, तेल, दूध, मैदा, मक्खन, नमक, पिसी हुई कालीमिर्च",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet vegan_diet omni_diet high_protien_diet,620
197,chilli fish,fish,"फिश के टुकड़े (बोनलेस), मैदा, कॉर्नफलोर, बेकिंग पाउडर, सोय सॉस, सेलेरी, कालीमिर्च , नमक, तेल, हरी प्याज, सॉस के लिए:, अदरक, लहसुन, हरी मिर्च, सॉय सॉस, टोमैटो सॉस, चिली सॉस, कॉर्नफलोर",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,260
198,fish ambultiyal,fish,"टूना, प्याज, मेथीदाना, साबुत मिर्च, पान्डन का पत्ता, नमक, पानी, इलाइची , दालचीनी, धनिया पाउडर, कालीमिर्च, लाल मिर्च , करी पाउडर, लहसुन (क्रश्ड), चिली फलेक्स, गोरका,  नमक",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,205
199,chettinad fish fry,fish,"सुरमई फिश, तेल, लहसुन की कलियां, अदरक (मैश), जीरा, सौंफ, साबुत धनिया, कालीमिर्च , सरसों के दाने, कढ़ीपत्ता, नमक, तेल, पानी, टमाटर, लालमिर्च पाउडर, हल्दी पाउडर, इमली का पल्प, कॉर्नफलोर, नींबू के टुकड़े",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,210
